Tweet_Text,Reply_Count,Retweet_Count,Like_Count,View_Count,Language,Source,Username,Location,year,month,day,hour,minute,weekday,Post_ID,ID_Source,predicted_label
@ruffydfire First country in the world ! You must think this is a great feat until you see the list of countries still battling with meningitis out break.,0.0,0.0,0.0,140.0,English,Twitter,OkechukwuE5506,"Lagos, Nigeria",2024,4,14,16,36,Sunday,SYN_eb90c7d5b0255165,Synthetic_ID,Uncertain
"Chickenpox, rubella both jabed.",0.0,0.0,1.0,81.0,English,Facebook,Noemi Haller,"Berlin, Deutschland",2025,6,30,19,29,Monday,Y29tbWVudDoxMzAxMjk0Njg0Nzg0NzMxXzc2ODk3MTE1ODg1Mjc3NA==,Platform_ID,Uncertain
@IanCopeland5 They are also rolling out a malaria vaccine Oxford/Novavax Matrix-M ...highly effective ..no autism.,0.0,0.0,4.0,228.0,English,Twitter,GhostLikeSmoke,Lagos Nigeria,2025,6,21,18,15,Saturday,SYN_a4acb195fcf1f04f,Synthetic_ID,Uncertain
"Happy #WorldimmunizationDay! We are grateful to the government for incorporating new vaccines into our routine immunization schedule. 
However, our mission is far from complete. It's time to extend a protective net over every child in Nigeria!
This journey must reach every https://t.co/bFbQnizIik",0.0,5.0,9.0,187.0,English,Twitter,VaccineNet_NG,Nigeria,2023,11,10,11,16,Friday,"=""1722921259917324515""",Platform_ID,Factual
"@IanCopeland5 we also don't give a shit about your obsession with fucking needles either weirdo. 

you lost the narrative years ago. 

WE. DON'T. GIVE. ONE. FUCK. ABOUT. VACCINES.",0.0,0.0,0.0,6.0,English,Twitter,PQuizzy15,"Richmond, VA",2024,12,4,19,14,Wednesday,SYN_a69519a1a22807b6,Synthetic_ID,Uncertain
"@Joe__Bassey This is a depopulation and drug testing agenda, they didn't want to do this with their own people hence, test running the drugs on Africans 
But the sad truth remains, that these people do not even see who their real enemies are. 
Sad",0.0,0.0,0.0,16.0,English,Twitter,Realcollins994,"Lagos, Nigeria",2025,1,20,11,58,Monday,SYN_debfe321745c8d60,Synthetic_ID,Uncertain
@muhammadpate @officialABAT @WHO @gavi @MastercardFdn @FCDOGovUK @vestergaard @AfricaCDC @UNICEF_Nigeria @WorldBank @USAIDGH @GlobalFund This is Commendable 👏🏽,0.0,0.0,0.0,296.0,English,Twitter,AbdulyasarFaruk,"Kano, Nigeria",2024,12,1,12,48,Sunday,SYN_8222774b1d64a9d3,Synthetic_ID,Factual
Those vaccines work. That is why they call it a vaccine. That in no way indicates that everything that they call a vaccine is safe or works. Take the flu vaccine for example. So many took the COVID vaccine and still got COVID that any how didn't get it can be explained by natural immunity. And the COVID vaccine itself has caused damage. That is why so many don't trust vaccines or doctors. Because of them pushing a obvious unsafe non vaccine.,0.0,0.0,1.0,81.0,Igbo,Facebook,Rodney Tockey,"Rémalard en Perche, France",2025,11,3,22,10,Monday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzI0OTA3MDY1MDE1NTg4MDUz,Platform_ID,Factual
"@VigilantFox this is true, even more, vaccine adverse effects are not reported to FDA in the same way adverse effects to chemicals are",0.0,0.0,1.0,246.0,English,Twitter,Ang3lcop,Chile,2025,3,27,3,50,Thursday,SYN_1dc75808789668bd,Synthetic_ID,Uncertain
"@aproko_doctor Good news??
You’re either an accomplice, or oblivious to the dubious scheme. 
They’re about to render an entire generation infertile and disease prone and that’s good news?
Do some unbiased digging on the shareholders of the companies producing and selling the malaria vaccines.",0.0,0.0,1.0,17.0,English,Twitter,ekechukwuj,"Abuja, Nigeria",2024,11,29,10,5,Friday,SYN_c21fbedc6429597a,Synthetic_ID,Factual
What about vaccine induced paralysis conditions? Can you share the percentage of fully unvaccinated individuals with paralysis conditions compared to vaccinated individuals?,0.0,0.0,1.0,81.0,English,Facebook,Alexandra Simone,"New Delhi, India",2025,11,6,15,43,Thursday,Y29tbWVudDoxMjI5MzU4NzcyNTQ5ODg4XzEzNjU4NTc1NjQ5MzU1MjU=,Platform_ID,Uncertain
"@Incognito_qfs I agree with you 100%.  Strays are a menace and a danger to the society. 

Anyone feeding these strays should be made accountable by making them adopt the dogs mandatorily. 

Once adopted, they should follow every health and general guidelines as a pet owner. 

Vaccination
Chip",8.0,3.0,28.0,8038.0,English,Twitter,aamirkhan78,Australia,2025,6,30,13,34,Monday,SYN_26491eff707c3dac,Synthetic_ID,Factual
I've been told by  my Cancer Doctor this week that there is NO vaccine to treat my advanced bladder cancer! I have been given a prognosis of 2 yrs,0.0,0.0,1.0,81.0,English,Facebook,Patricia Brant,United States,2021,2,3,2,43,Wednesday,Y29tbWVudDo3NzkxOTc2NjE1MzA1MDVfMTMxNzkxMDEzOTgwOTExNQ==,Platform_ID,Factual
@aproko_doctor Teen girls. Run ooo. Aproko has been paid to promote this. Vaccine from people that want to reduce population. Be wise. Why Teen girls? You want to destroy their wombs. Run ooo,0.0,0.0,0.0,146.0,English,Twitter,eikwoche,Lagos,2024,5,28,23,32,Tuesday,SYN_26cfd809f6446b91,Synthetic_ID,Factual
"A friend of mine just lost her brother, who had been an active boy until he got polio. He spent the next 40 years of his life in a wheelchair, and then the last 25 bedridden. 
Smallpox was around for centuries, killing millions of people, until they came out with a vaccine was developed. They stopped giving vaccinations when the disease was considered eradicated in 1980 
Autism was first diagnosed in the 1700s, long before Vaccinations. Andrew Wakefield, a British doctor, was the person who started the scare that vaccinations caused autism. Scientists and other medical professionals were outraged. They conducted their own studies, which showed that it was not true. An investigation found that he was funded by attorneys who wanted to make money by suing the companies that made the vaccinations. 
He admitted he had lied, but it was too late, the scare had already been spread around the world.",0.0,0.0,1.0,81.0,English,Facebook,Deborah Abercrombie,"Adelaide, Australia",2025,6,29,11,50,Sunday,Y29tbWVudDo3Njk2NDAxNDYxMDQ4OThfMTUzOTY1NTE4NzE2MDA0NA==,Platform_ID,Factual
@IanCopeland5 I'm from Nigeria and thanks for your stance on vaccines. Malaria is a devastating disease here. Often the anti vaxxers are the children of the middle class whose parents had the good sense to vaccinate as infants and now church out misinformation,0.0,0.0,0.0,44.0,English,Twitter,Thinker65637,"Abeokuta, Nigeria",2024,12,4,0,27,Wednesday,SYN_6f694def10a0eb97,Synthetic_ID,Misinformation
"@P_McCulloughMD @kapchatfield @US_FDA Mainstream TV programming is continually promoting CoVid jabs/boosters, flu/rsv vaccines. The push is relentless and at every turn.",0.0,0.0,0.0,33.0,English,Twitter,icitizenofearth,"Wisconsin, USA",2024,11,21,6,13,Thursday,SYN_d04d540c8f868017,Synthetic_ID,Uncertain
